1302|1000|Practice Weapon|练习用武器|Lacking in the power department, but better than nothing.|不能期待它有多高的攻击力，不过总比没有的好。
27816|1455|Silvahn|灵剑银石|[STR+500/RNG+3/ATS+50]\nA well-used, but well-cared-for silver templar sword.|【STR+500 RNG+3】\n　敝旧的白银法剑，被使用过的痕迹相当明显。
27910|1456|Roten Himmel|赤红天空|[STR+600/RNG+2]\nA forbidden templar sword that slaughters all it touches.|【STR+600 RNG+2】\n　被教会封印的禁忌法剑，以敌人作为牺牲品。
28006|1457|NON_ITEM|NON_ITEM|[STR+700/RNG+3]\nUnused.|【STR+700 RNG+3】\n　未使用。
28048|1458|Ceremonial Sword|神圣盟友|[STR+800/RNG+2]\nA sword from Arteria used for ceremonial purposes.|【STR+800 RNG+2】\n　留传于法典国的典礼用法剑。
28141|1459|Giardino|庭院|[STR+900/RNG+3/ATS+150]\nA templar sword that only specially chosen knights can use.|【STR+900 RNG+3】\n　法典国直属的骑士才有资格使用的法剑。
28243|1460|Triptych Loa|王者联盟|[STR+1000/RNG+2]\nOnce sealed a devil. Moves like it has a will of its own.|【STR+1000 RNG+2】\n　封印古代恶魔的法剑，剑身会犹如拥有意志一般挥动。
28340|1461|Tabernaculum|圣幕|[STR+1100/RNG+2/ATS+200]\nA templar sword unearthed from an ancient tomb.|【STR+1100 RNG+2】\n　从古文明时代的坟墓中出土的法剑。
28435|1462|Agnus Dei|羔羊颂|[STR+1200/RNG+3/ATS+250]\nThe Goddess' templar sword. Illuminates the way forward.|【STR+1200 RNG+3】\n　女神的法剑。为世人指明道路、驱除迷惑。
28536|1463|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
28585|1464|Morality Sword|伦理|[STR+1050/RNG+3/DEF/ATS/ADF/DEX+5/AGL/SPD+2]\nOnce a traveler's. Said to have been used to threaten a god.|【STR+1050 RNG+3】\n　旅行者遗失的物品，据说此法剑曾指向神明。
28715|1465|Morality Sword+1|伦理+1|[STR+1300/RNG+3/DEF/ATS/ADF/DEX+10/AGL/SPD+5]\nOnce a traveler's. Said to have been used to threaten a god.|【STR+1150 RNG+3】\n　旅行者遗失的物品，据说此法剑曾指向神明。
28848|1466|The Recluse|林荫十字|[STR+9999/RNG+3]\nThe world's strongest templar sword.|【STR+9999 RNG+3】\n　世界最强的蛇腹剑。
28923|1467|Photon Sword|光铬剑|[STR+1500/RNG+3/DEF/ATS/ADF/DEX+15/AGL/SPD+10]\nTemplar sword forged from strange ore. Made of light spheres.|【STR+1500 RNG+3】\n　以谜之矿石精炼而成，剑身闪烁着白色光球的法剑。
29054|1468|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29103|1469|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29152|1470|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29201|1471|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29250|1472|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29299|1473|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29348|1474|--|--| | 
29361|1475|--|--| | 
29374|1476|--|--| | 
29387|1477|--|--| | 
29400|1478|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29449|1479|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29498|1480|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29547|1481|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29596|1482|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29645|1483|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29694|1484|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29743|1485|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29792|1486|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29841|1487|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29890|1488|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29939|1489|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
29988|1490|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
30037|1491|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
30086|1492|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
30135|1493|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
30184|1494|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
30233|1495|              |              |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
30282|1496|Nine Lives|九命|[STR+750]\nAn Enforcer's scythe. Said to be able to claim nine lives at once.|【STR+750】\n　执行者的大镰刀，据说一挥即可夺取九条性命。
30379|1497|Rose Ripper|蔷薇花环|[STR+850]\nA giant scythe with saw-like edges across its blade.|【STR+850】\n　刀身的两面刀刃都为细小锯状的大镰刀。
30463|1498|Camellia Scythe|山茶花追魂镰|[STR+950]\nA scythe with multi-layered blades to cause heavy blood loss.|【STR+950】\n　多加了若干层薄刃，让敌人失血过多而死的大镰刀。
30560|1499|Bloody Slaughter|猫杀|[STR+1050]\nA cursed scythe containing the soul of a sadistic killer.|【STR+1050】\n　被诅咒的大镰刀，据说刀身寄宿有嗜杀者的灵魂。
30655|1500|Red Crescent|赤之新月|[STR+1150]\nAn ancient scythe resembling a staff with blades on both ends.|【STR+1150】\n　刀柄两旁均有月牙形刀刃，与棍棒神似的古代镰刀。
30751|1501|Crimson Scythe|透明哀忆|[STR+1250]\nA scythe with a crimson blade. Its form can be changed.|【STR+1250】\n　被封印的大镰刀，其深红色的刀身可以自如变形。
30842|1502|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
30881|1503|Stella Machina|机械星|[STR+1200/DEX+50/AGL+20/SPD+5]\nOnce a traveler's. Makes a sound when blood drips down it.|【STR+1200】\n　旅行者遗失的物品，只要刀身沾上血迹就会发出清澈声音。
30995|1504|Nemesis Ripper|复仇女神之诅咒|[STR+1450/DEX+100/AGL+25/SPD+10]\nA scythe that emits black light. Made from a strange ore.|【STR+1450】\n　以谜之矿石精炼而成，刀身闪耀着黑色的光泽。
31110|1505|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31149|1506|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31188|1507|--|--| | 
31201|1508|--|--| | 
31214|1509|--|--| | 
31227|1510|--|--| | 
31240|1511|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31279|1512|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31318|1513|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31357|1514|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31396|1515|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31435|1516|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31474|1517|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31513|1518|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31552|1519|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31591|1520|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31630|1521|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31669|1522|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31708|1523|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31747|1524|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31786|1525|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31825|1526|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31864|1527|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31903|1528|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31942|1529|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
31981|1530|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32020|1531|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32059|1532|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32098|1533|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32137|1534|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32176|1535|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32215|1536|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32254|1537|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32293|1538|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32332|1539|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32371|1540|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
32410|1541|Stun Rod|甩棍|[STR+100]\nA deadly weapon for delinquents that vitalizes the user.|【STR+100】\n　拿在手里就会感到头脑发热的不良青年常用的钝器。
32495|1542|--|--| | 
32508|1543|--|--| | 
32521|1544|--|--| | 
32534|1545|--|--| | 
32547|1546|--|--| | 
32560|1547|--|--| | 
32573|1548|--|--| | 
32586|1549|--|--| | 
32599|1550|Fitted Leather|小皮衣|[DEF+100]\nClothes for the active, fitted perfectly to your body shape.|【DEF+100】\n　能够适用于任何身材，灵活性高的泛用运动服。
32694|1551|Enhanced Denim|强化牛仔衫|[DEF+200]\nVintage clothing that has seen--and survived--many battles.|【DEF+200】\n　经过多次战斗不易磨损的顶级战斗服。
32788|1552|Survival Vest|求生背心|[DEF+300]\nA multipurpose vest made of lots of very resistant material.|【DEF+300】\n　以耐久性高的材质制成的多功能防护服。
32882|1553|Bestia Coat|兽皮大衣|[DEF+400/ADF+10/AGL+5]\nA coat woven from untouched beast hide.|【DEF+400 ADF+10 AGL+5】\n　剥掉魔兽的毛皮后织制的大衣。
32966|1554|Titanium Suit|钛服|[DEF+500]\nA suit reinforced with metal alloy for extra strength.|【DEF+500】\n　以强化合金作为素材制成的护卫专用套装。
33054|1555|Bracer Coat|运动外衣|[DEF+600]\nA coat recommended by the Bracer Guild.|【DEF+600】\n　游击士协会推荐的防护服。可以迅速适应各种战斗环境。
33125|1556|Dragon Tree Jumpsuit|龙树连体服|[DEF+700/ADF+15/AGL+5]\nClothes with high arts resistance. Made from withered trees.|【DEF+700 ADF+15 AGL+5】\n　抗魔性强的服装，由野外的树木制成。
33239|1557|Battle Surcoat|无袖外罩|[DEF+800]\nA dignified coat worn by Eastern military commanders.|【DEF+800】\n　东方武将穿着的防御服，细致的装饰凸显威严。
33327|1558|Amalgam Guard|汞合金守卫|[DEF+900]\nOrganic armor. Metal gathers where attacked to absorb shock.|【DEF+900】\n　以金属加固容易受到攻击的部位、吸收冲击力的有机防具。
33421|1559|Gargan Armor|巨人铠甲|[DEF+1000/ADF+20/AGL+5]\nGiant body armor taken from a Middle Age noble's mansion.|【DEF+1000 ADF+20 AGL+5】\n　从中世纪贵族宅邸中回收的巨大全身铠甲。
33525|1560|Cosmic Gear|宇宙装甲|[DEF+1100]\nA defensive artifact from ancient times. Highly effective.|【DEF+1100】\n　古代的防御型古代遗物，万能的防护铠甲。
33616|1561|--|--| | 
33629|1562|Ninja Garb|忍者服|[DEF+750/SPD+5/AGL+100]\nA black garb that lets the wearer evade more often.|【DEF+750 SPD+5 AGL+100】\n　带来惊人回避能力的黑色服装。
33725|1563|Knight Armor|骑士装甲|[DEF+1500/ADF-600/AGL-50/SPD-5/MOV-1]\nHeavy armor with strong defensive properties.|【DEF+1500 ADF-600 AGL-50 SPD-5 MOV-1】\n　铁壁型的防御重装甲。
33831|1564|Reflective Robe|魔镜僧袍|[DEF+650/ADF+1000/MOV-1]\nA holy garment designed to resist arts using mirrors.|【DEF+650 ADF+1000 MOV-1】\n　以偏振光镜编成，具有超强抗魔性的僧袍。
33935|1565|Kitty Suit|可爱猫咪套装|[DEF+750/DEX+10/AGL+10/SPD+30/MOV+1]\nA soft costume that resembles a kitten.|【DEF+750 DEX+10 AGL+10 SPD+30 MOV+1】\n　以可爱的猫咪为模板制成的柔软服装。
34032|1566|Jagd Armor|狩猎重铠|[DEF+1000/STR+100/ADF-100/DEX-50]\nHeavy battle armor used by first-rate jaegers.|【DEF+1000 STR+100 ADF-100 DEX-50】\n　前线猎兵穿着的战斗用重装备。
34133|1567|--|--| | 
34146|1568|--|--| | 
34159|1569|--|--| | 
34172|1570|--|--| | 
34185|1571|--|--| | 
34198|1572|--|--| | 
34211|1573|--|--| | 
34224|1574|--|--| | 
34237|1575|--|--| | 
34250|1576|--|--| | 
34263|1577|--|--| | 
34276|1578|--|--| | 
34289|1579|--|--| | 
34302|1580|--|--| | 
34315|1581|--|--| | 
34328|1582|--|--| | 
34341|1583|--|--| | 
34354|1584|--|--| | 
34367|1585|--|--| | 
34380|1586|--|--| | 
34393|1587|--|--| | 
34406|1588|--|--| | 
34419|1589|--|--| | 
34432|1590|--|--| | 
34445|1591|--|--| | 
34458|1592|--|--| | 
34471|1593|--|--| | 
34484|1594|--|--| | 
34497|1595|--|--| | 
34510|1596|--|--| | 
34523|1597|--|--| | 
34536|1598|--|--| | 
34549|1599|Leather Vest|皮革背心|[DEF+5]\nA soft leather vest that feels good to the touch.|【DEF+5】\n　用柔软的皮革制成的背心。
34629|1600|Enhanced Leather|强化皮衣|[DEF+100]\nA leather vest with extra-thick material used in the chest.|【DEF+100】\n　以厚实的皮革加固胸部的背心。
34725|1601|--|--| | 
34738|1602|--|--| | 
34751|1603|--|--| | 
34764|1604|--|--| | 
34777|1605|--|--| | 
34790|1606|--|--| | 
34803|1607|--|--| | 
34816|1608|--|--| | 
34829|1609|--|--| | 
34842|1610|Kaleido Armor|万变槛|[DEF+225/STR+20/ADF+20/SPD+5/Men Only]\nWhole body armor of septium that reflects light beautifully.|【DEF+225 STR+10 ADF+10 SPD+5 男性专用装备】\n　七耀石制的全身铠甲。贯注入的光芒反射出煌煌的辉泽。
34965|1611|Kaleido Armor+1|万变槛+1|[DEF+525/STR+40/ADF+40/SPD+5/Men Only]\nWhole body armor of septium that reflects light beautifully.|【DEF+525 STR+20 ADF+20 SPD+5 男性专用装备】\n　七耀石的全身铠甲。贯注入的光芒反射出煌煌的辉泽。
35090|1612|Kaleido Armor+2|万变槛+2|[DEF+825/STR+60/ADF+60/SPD+5/Men Only]\nWhole body armor of septium that reflects light beautifully.|【DEF+825 STR+30 ADF+30 SPD+5 男性专用装备】\n　七耀石的全身铠甲。贯注入的光芒反射出煌煌的辉泽。
35215|1613|Kaleido Armor+3|万变槛+3|[DEF+1155/STR+80/ADF+80/SPD+5/Men Only]\nWhole body armor of septium that reflects light beautifully.|【DEF+1055 STR+40 ADF+40 SPD+5 男性专用装备】\n　七耀石的全身铠甲。贯注入的光芒反射出煌煌的辉泽。
35341|1614|Raphael's Halo|拉斐尔光环|[DEF+1100/ADF+25/AGL+5/Men Only]\nMystical armor from the Testaments. Offers protection in combat.|【DEF+1100 ADF+25 AGL+5 男性专用装备】\n　记载于圣典里面的神秘之铠，在近战中可以获得加护。
35463|1615|--|--| | 
35476|1616|--|--| | 
35489|1617|--|--| | 
35502|1618|--|--| | 
35515|1619|--|--| | 
35528|1620|--|--| | 
35541|1621|--|--| | 
35554|1622|--|--| | 
35567|1623|--|--| | 
35580|1624|--|--| | 
35593|1625|--|--| | 
35606|1626|--|--| | 
35619|1627|--|--| | 
35632|1628|--|--| | 
35645|1629|--|--| | 
35658|1630|Schwarz Silk|黑丝绸|[DEF+225/ATS+50/AGL+15/Women Only]\nGarment made with septium. Radiates distorted light.|【DEF+225 ATS+50 AGL+5 女性专用装备】\n　七耀石的防护服，溢出的光芒折射般的跳动着。
35768|1631|Schwarz Silk+1|黑丝绸+1|[DEF+525/ATS+100/AGL+30/Women Only]\nGarment made with septium. Radiates distorted light.|【DEF+525 ATS+100 AGL+15 女性专用装备】\n　七耀石的防护服，溢出的光芒折射般的跳动着。
35881|1632|Schwarz Silk+2|黑丝绸+2|[DEF+825/ATS+150/AGL+45/Women Only]\nGarment made with septium. Radiates distorted light.|【DEF+825 ATS+150 AGL+25 女性专用装备】\n　七耀石的防护服，溢出的光芒折射般的跳动着。
35994|1633|Schwarz Silk+3|黑丝绸+3|[DEF+1155/ATS+200/AGL+60/Women Only]\nGarment made with septium. Radiates distorted light.|【DEF+1055 ATS+200 AGL+35 女性专用装备】\n　七耀石的防护服，溢出的光芒折射般的跳动着。
36108|1634|Jormungandr|尘世巨蟒|[DEF+1600/ADF+300/SPD-5/DEX+50/AGL-50/MOV-1]\nA mobile pillbox for gunners used in a great ancient war.|【DEF+1600 ADF+300 SPD-5 DEX+50 AGL-50 MOV-1】\n　古代大战里使用的炮术士专用移动碉堡。
36232|1635|Gabriel's Aura|加百列光辉|[DEF+1100/ATS+25/ADF+25/Women Only]\nAmazing clothes from the Testaments with magical protection.|【DEF+1100 ATS+25 ADF+25 女性专用装备】\n　记载于圣典里面的奇迹之铠。能得到强化魔力的加护。
36353|1636|--|--| | 
36366|1637|--|--| | 
36379|1638|--|--| | 
36392|1639|--|--| | 
36405|1640|--|--| | 
36418|1641|--|--| | 
36431|1642|--|--| | 
36444|1643|--|--| | 
36457|1644|--|--| | 
36470|1645|--|--| | 
36483|1646|--|--| | 
36496|1647|--|--| | 
36509|1648|--|--| | 
36522|1649|--|--| | 
36535|9999| | | | 
